Year,Month,Mdate,Sensor_Name,Count,Rank
2009,August,1,Town Hall (West),37099,1.0
2009,August,1,Bourke Street Mall (South),29815,2.0
2009,August,1,Melbourne Central,29304,3.0
2009,August,1,Princes Bridge,23994,4.0
2009,August,1,Bourke Street Mall (North),19738,5.0
2009,August,1,Flinders Street Station Underpass,18370,6.0
2009,August,1,State Library,16370,7.0
2009,August,1,Australia on Collins,14321,8.0
2009,August,1,Sandridge Bridge,7135,9.0
2009,August,1,New Quay,5537,10.0
2009,August,2,Town Hall (West),29464,1.0
2009,August,2,Melbourne Central,23167,2.0
2009,August,2,Bourke Street Mall (South),22753,3.0
2009,August,2,Princes Bridge,21474,4.0
2009,August,2,Flinders Street Station Underpass,15569,5.0
2009,August,2,Bourke Street Mall (North),14749,6.0
2009,August,2,State Library,13399,7.0
2009,August,2,Australia on Collins,10405,8.0
2009,August,2,New Quay,7637,9.0
2009,August,2,Waterfront City,6816,10.0
2009,August,3,Town Hall (West),33686,1.0
2009,August,3,Melbourne Central,26709,2.0
2009,August,3,Bourke Street Mall (South),26701,3.0
2009,August,3,Flinders Street Station Underpass,26458,4.0
2009,August,3,Flagstaff Station,25444,5.0
2009,August,3,Princes Bridge,21357,6.0
2009,August,3,State Library,18921,7.0
2009,August,3,Bourke Street Mall (North),17476,8.0
2009,August,3,Australia on Collins,16781,9.0
2009,August,3,Collins Place (South),13481,10.0
2009,August,4,Town Hall (West),32096,1.0
2009,August,4,Flagstaff Station,26907,2.0
2009,August,4,Bourke Street Mall (South),25375,3.0
2009,August,4,Flinders Street Station Underpass,25074,4.0
2009,August,4,Melbourne Central,24969,5.0
2009,August,4,Princes Bridge,19552,6.0
2009,August,4,State Library,18012,7.0
2009,August,4,Australia on Collins,16829,8.0
2009,August,4,Bourke Street Mall (North),16496,9.0
2009,August,4,Collins Place (South),13379,10.0
2009,August,5,Town Hall (West),34725,1.0
2009,August,5,Bourke Street Mall (South),28196,2.0
2009,August,5,Melbourne Central,27960,3.0
2009,August,5,Flinders Street Station Underpass,27281,4.0
2009,August,5,Flagstaff Station,25461,5.0
2009,August,5,Princes Bridge,23982,6.0
2009,August,5,State Library,19593,7.0
2009,August,5,Australia on Collins,18150,8.0
2009,August,5,Bourke Street Mall (North),18108,9.0
2009,August,5,Collins Place (South),13955,10.0
2009,August,6,Town Hall (West),35280,1.0
2009,August,6,Bourke Street Mall (South),28694,2.0
2009,August,6,Melbourne Central,27955,3.0
2009,August,6,Flinders Street Station Underpass,26537,4.0
2009,August,6,Flagstaff Station,24900,5.0
2009,August,6,Princes Bridge,23136,6.0
2009,August,6,Bourke Street Mall (North),19709,7.0
2009,August,6,State Library,18407,8.0
