Year,Month,Sensor_Name,Count,Rank
2009,August,Town Hall (West),1050461,1.0
2009,August,Bourke Street Mall (South),847853,2.0
2009,August,Melbourne Central,827432,3.0
2009,August,Flinders Street Station Underpass,721539,4.0
2009,August,Princes Bridge,700272,5.0
2009,August,Bourke Street Mall (North),560625,6.0
2009,August,Flagstaff Station,540355,7.0
2009,August,State Library,539908,8.0
2009,August,Australia on Collins,489810,9.0
2009,August,Collins Place (South),326793,10.0
2009,December,Town Hall (West),1198678,1.0
2009,December,Bourke Street Mall (South),1022298,2.0
2009,December,Bourke Street Mall (North),841261,3.0
2009,December,Melbourne Central,795765,4.0
2009,December,Flinders Street Station Underpass,777770,5.0
2009,December,Princes Bridge,705360,6.0
2009,December,Australia on Collins,551491,7.0
2009,December,Flagstaff Station,470939,8.0
2009,December,State Library,459247,9.0
2009,December,Collins Place (South),316187,10.0
2009,July,Town Hall (West),1110075,1.0
2009,July,Bourke Street Mall (South),877690,2.0
2009,July,Melbourne Central,826210,3.0
2009,July,Flinders Street Station Underpass,757096,4.0
2009,July,Princes Bridge,743246,5.0
2009,July,Bourke Street Mall (North),610587,6.0
2009,July,Flagstaff Station,562069,7.0
2009,July,Australia on Collins,530208,8.0
2009,July,State Library,525256,9.0
2009,July,Collins Place (South),346578,10.0
2009,June,Town Hall (West),1009857,1.0
2009,June,Bourke Street Mall (North),801945,2.0
2009,June,Melbourne Central,740878,3.0
2009,June,Flinders Street Station Underpass,674285,4.0
2009,June,Princes Bridge,635352,5.0
2009,June,Bourke Street Mall (South),593036,6.0
2009,June,Flagstaff Station,527632,7.0
2009,June,Australia on Collins,484893,8.0
2009,June,State Library,466171,9.0
2009,June,Collins Place (South),327694,10.0
2009,May,Town Hall (West),1095125,1.0
2009,May,Bourke Street Mall (North),842470,2.0
2009,May,Flinders Street Station Underpass,729966,3.0
2009,May,Princes Bridge,711896,4.0
2009,May,Bourke Street Mall (South),628472,5.0
2009,May,State Library,570028,6.0
2009,May,Flagstaff Station,538822,7.0
2009,May,Australia on Collins,521101,8.0
2009,May,Melbourne Central,347366,9.0
2009,May,Collins Place (South),337352,10.0
2009,November,Town Hall (West),1075112,1.0
2009,November,Bourke Street Mall (South),819881,2.0
2009,November,Melbourne Central,793497,3.0
2009,November,Flinders Street Station Underpass,731875,4.0
2009,November,Bourke Street Mall (North),706073,5.0
2009,November,Princes Bridge,700342,6.0
2009,November,Flagstaff Station,503682,7.0
2009,November,Australia on Collins,497652,8.0
2009,November,State Library,481941,9.0
2009,November,Collins Place (South),326776,10.0
2009,October,Town Hall (West),1058684,1.0
2009,October,Bourke Street Mall (South),866911,2.0
2009,October,Flinders Street Station Underpass,748989,3.0
2009,October,Princes Bridge,725048,4.0
2009,October,Melbourne Central,724329,5.0
2009,October,Bourke Street Mall (North),568757,6.0
2009,October,State Library,560199,7.0
2009,October,Flagstaff Station,551139,8.0
2009,October,Australia on Collins,511023,9.0
2009,October,Collins Place (South),349472,10.0
2009,September,Town Hall (West),1017890,1.0
2009,September,Bourke Street Mall (South),836776,2.0
2009,September,Melbourne Central,780036,3.0
2009,September,Flinders Street Station Underpass,700836,4.0
2009,September,Princes Bridge,699272,5.0
2009,September,Flagstaff Station,545023,6.0
2009,September,Bourke Street Mall (North),532613,7.0
2009,September,State Library,518451,8.0
2009,September,Australia on Collins,481442,9.0
2009,September,Collins Place (South),334670,10.0
2010,April,Town Hall (West),1111326,1.0
2010,April,Melbourne Central,837419,2.0
2010,April,Bourke Street Mall (South),779147,3.0
2010,April,Princes Bridge,743949,4.0
2010,April,Flinders Street Station Underpass,709573,5.0
2010,April,Bourke Street Mall (North),584322,6.0
2010,April,State Library,545050,7.0
2010,April,Australia on Collins,513211,8.0
2010,April,Flagstaff Station,487441,9.0
2010,April,Collins Place (South),319625,10.0
2010,August,Town Hall (West),1036046,1.0
2010,August,Melbourne Central,781308,2.0
2010,August,Bourke Street Mall (South),750070,3.0
2010,August,Flinders Street Station Underpass,723723,4.0
2010,August,Princes Bridge,630601,5.0
2010,August,Bourke Street Mall (North),610958,6.0
2010,August,Flagstaff Station,556535,7.0
2010,August,State Library,510291,8.0
2010,August,Australia on Collins,506910,9.0
2010,August,Collins Place (South),339983,10.0
2010,December,Town Hall (West),1232520,1.0
2010,December,Bourke Street Mall (South),1192427,2.0
2010,December,Flinders Street Station Underpass,847734,3.0
2010,December,Melbourne Central,780191,4.0
2010,December,Princes Bridge,620999,5.0
2010,December,Australia on Collins,588052,6.0
2010,December,State Library,474262,7.0
2010,December,Flagstaff Station,468864,8.0
2010,December,Collins Place (South),337140,9.0
2010,December,Sandridge Bridge,262484,10.0
2010,February,Town Hall (West),948404,1.0
2010,February,Melbourne Central,715260,2.0
2010,February,Bourke Street Mall (South),712874,3.0
2010,February,Flinders Street Station Underpass,676841,4.0
2010,February,Princes Bridge,676447,5.0
2010,February,Bourke Street Mall (North),557650,6.0
2010,February,Flagstaff Station,517041,7.0
2010,February,Australia on Collins,473198,8.0
2010,February,State Library,453229,9.0
2010,February,Collins Place (South),319189,10.0
2010,January,Town Hall (West),1046480,1.0
2010,January,Bourke Street Mall (South),780024,2.0
2010,January,Princes Bridge,705279,3.0
2010,January,Melbourne Central,703179,4.0
2010,January,Flinders Street Station Underpass,689157,5.0
2010,January,Bourke Street Mall (North),582056,6.0
2010,January,Australia on Collins,463533,7.0
2010,January,State Library,407403,8.0
2010,January,Flagstaff Station,390248,9.0
2010,January,Collins Place (South),266250,10.0
2010,July,Town Hall (West),1104454,1.0
2010,July,Melbourne Central,825843,2.0
2010,July,Bourke Street Mall (South),807012,3.0
2010,July,Flinders Street Station Underpass,755116,4.0
2010,July,Princes Bridge,688388,5.0
2010,July,Bourke Street Mall (North),615352,6.0
2010,July,Australia on Collins,551681,7.0
2010,July,Flagstaff Station,529577,8.0
2010,July,State Library,520724,9.0
2010,July,Collins Place (South),348096,10.0
2010,June,Town Hall (West),965356,1.0
2010,June,Bourke Street Mall (South),765273,2.0
2010,June,Melbourne Central,717588,3.0
2010,June,Flinders Street Station Underpass,670965,4.0
2010,June,Princes Bridge,612191,5.0
2010,June,Flagstaff Station,521372,6.0
2010,June,Bourke Street Mall (North),518089,7.0
2010,June,Australia on Collins,480399,8.0
2010,June,State Library,439415,9.0
2010,June,Collins Place (South),319880,10.0
2010,March,Town Hall (West),1145962,1.0
2010,March,Melbourne Central,908894,2.0
2010,March,Princes Bridge,823435,3.0
2010,March,Bourke Street Mall (South),819131,4.0
2010,March,Flinders Street Station Underpass,778368,5.0
2010,March,State Library,622935,6.0
2010,March,Bourke Street Mall (North),620191,7.0
2010,March,Flagstaff Station,581126,8.0
2010,March,Australia on Collins,546200,9.0
2010,March,Collins Place (South),363730,10.0
2010,May,Town Hall (West),1043343,1.0
2010,May,Bourke Street Mall (South),794259,2.0
2010,May,Melbourne Central,787414,3.0
2010,May,Flinders Street Station Underpass,718316,4.0
2010,May,Princes Bridge,665106,5.0
2010,May,Bourke Street Mall (North),570325,6.0
2010,May,Flagstaff Station,539936,7.0
2010,May,State Library,523839,8.0
2010,May,Australia on Collins,485445,9.0
2010,May,Collins Place (South),345787,10.0
2010,November,Town Hall (West),1050132,1.0
2010,November,Bourke Street Mall (South),879738,2.0
2010,November,Flinders Street Station Underpass,781536,3.0
2010,November,Melbourne Central,756614,4.0
2010,November,Princes Bridge,563694,5.0
2010,November,Flagstaff Station,533506,6.0
2010,November,Australia on Collins,526471,7.0
2010,November,State Library,478520,8.0
2010,November,Collins Place (South),362980,9.0
2010,November,Collins Place (North),277917,10.0
2010,October,Town Hall (West),1017342,1.0
2010,October,Bourke Street Mall (South),819846,2.0
2010,October,Flinders Street Station Underpass,767413,3.0
2010,October,Bourke Street Mall (North),630623,4.0
2010,October,Melbourne Central,618765,5.0
2010,October,Princes Bridge,613103,6.0
2010,October,Flagstaff Station,543480,7.0
2010,October,Australia on Collins,526161,8.0
2010,October,State Library,520247,9.0
2010,October,Collins Place (South),363525,10.0
2010,September,Town Hall (West),1030277,1.0
2010,September,Bourke Street Mall (South),784423,2.0
2010,September,Melbourne Central,772614,3.0
2010,September,Flinders Street Station Underpass,746196,4.0
2010,September,Bourke Street Mall (North),618262,5.0
2010,September,Princes Bridge,590036,6.0
2010,September,Flagstaff Station,537300,7.0
2010,September,Australia on Collins,512188,8.0
2010,September,State Library,505153,9.0
2010,September,Collins Place (South),357462,10.0
2011,April,Town Hall (West),1195568,1.0
2011,April,Bourke Street Mall (South),972919,2.0
2011,April,Melbourne Central,897977,3.0
2011,April,Flinders Street Station Underpass,815530,4.0
2011,April,Princes Bridge,664347,5.0
2011,April,State Library,565421,6.0
2011,April,Australia on Collins,548968,7.0
2011,April,Flagstaff Station,473466,8.0
2011,April,Collins Place (South),331079,9.0
2011,April,Collins Place (North),253992,10.0
2011,August,Town Hall (West),1055793,1.0
2011,August,Bourke Street Mall (South),852134,2.0
2011,August,Melbourne Central,841317,3.0
2011,August,Flinders Street Station Underpass,815374,4.0
2011,August,Princes Bridge,605924,5.0
2011,August,Flagstaff Station,584537,6.0
2011,August,State Library,547563,7.0
2011,August,Australia on Collins,535239,8.0
2011,August,Collins Place (South),364954,9.0
2011,August,Southern Cross Station,299918,10.0
2011,December,Town Hall (West),1260831,1.0
2011,December,Bourke Street Mall (South),1227674,2.0
2011,December,Flinders Street Station Underpass,900461,3.0
2011,December,Melbourne Central,852903,4.0
2011,December,Princes Bridge,649306,5.0
2011,December,Australia on Collins,595553,6.0
2011,December,State Library,511898,7.0
2011,December,Flagstaff Station,450369,8.0
2011,December,Bourke Street Mall (North),443595,9.0
2011,December,Collins Place (South),314911,10.0
2011,February,Town Hall (West),939189,1.0
2011,February,Flinders Street Station Underpass,741443,2.0
2011,February,Bourke Street Mall (South),735659,3.0
2011,February,Melbourne Central,719419,4.0
2011,February,Princes Bridge,541120,5.0
2011,February,Flagstaff Station,525537,6.0
2011,February,Australia on Collins,473519,7.0
2011,February,State Library,468450,8.0
2011,February,Collins Place (South),338868,9.0
2011,February,Collins Place (North),267145,10.0
2011,January,Town Hall (West),1074131,1.0
2011,January,Bourke Street Mall (South),865293,2.0
2011,January,Flinders Street Station Underpass,775410,3.0
2011,January,Melbourne Central,710075,4.0
2011,January,Princes Bridge,632786,5.0
2011,January,Australia on Collins,496679,6.0
2011,January,State Library,425012,7.0
2011,January,Flagstaff Station,417690,8.0
2011,January,Collins Place (South),314727,9.0
2011,January,Birrarung Marr,302409,10.0
2011,July,Town Hall (West),1111340,1.0
2011,July,Bourke Street Mall (South),926239,2.0
2011,July,Melbourne Central,841408,3.0
2011,July,Flinders Street Station Underpass,821093,4.0
2011,July,Princes Bridge,607586,5.0
2011,July,Australia on Collins,561311,6.0
2011,July,State Library,518236,7.0
2011,July,Flagstaff Station,501886,8.0
2011,July,Collins Place (South),342528,9.0
2011,July,Southern Cross Station,277390,10.0
2011,June,Town Hall (West),1033749,1.0
2011,June,Bourke Street Mall (South),949292,2.0
2011,June,Melbourne Central,787632,3.0
